"year","county","crop_name","harv_ac"
2018,"Tazewell","Corn",137200
2017,"Tazewell","Corn",142700
2016,"Tazewell","Corn",144000
2015,"Tazewell","Corn",147900
2021,"Union","Corn",11500
2020,"Union","Corn",11600
2019,"Union","Corn",8200
2017,"Union","Corn",9700
2016,"Union","Corn",13200
2021,"Vermilion","Corn",210500
2020,"Vermilion","Corn",215500
2018,"Vermilion","Corn",215000
2017,"Vermilion","Corn",214000
2016,"Vermilion","Corn",224500
2015,"Vermilion","Corn",224500
2021,"Wabash","Corn",48000
2020,"Wabash","Corn",50300
2019,"Wabash","Corn",41700
2017,"Wabash","Corn",46600
2016,"Wabash","Corn",45500
2015,"Wabash","Corn",42800
2020,"Warren","Corn",149300
2019,"Warren","Corn",151500
2018,"Warren","Corn",147400
2017,"Warren","Corn",152700
2016,"Warren","Corn",161800
2015,"Warren","Corn",157100
2021,"Washington","Corn",100700
2020,"Washington","Corn",97700
2019,"Washington","Corn",82600
2018,"Washington","Corn",91700
2017,"Washington","Corn",96600
2016,"Washington","Corn",98300
2015,"Washington","Corn",95600
2020,"Wayne","Corn",127300
2018,"Wayne","Corn",109300
2017,"Wayne","Corn",109000
2021,"White","Corn",93500
2020,"White","Corn",92600
2019,"White","Corn",68900
2018,"White","Corn",82700
2017,"White","Corn",78200
2016,"White","Corn",83600
2015,"White","Corn",82800
2021,"Whiteside","Corn",213500
2020,"Whiteside","Corn",223000
2019,"Whiteside","Corn",186800
2018,"Whiteside","Corn",223000
2017,"Whiteside","Corn",221000
2016,"Whiteside","Corn",233000
2015,"Whiteside","Corn",229500
2021,"Will","Corn",88000
2020,"Will","Corn",89200
2018,"Will","Corn",91600
2017,"Will","Corn",85800
2015,"Will","Corn",97100
2020,"Williamson","Corn",18500
2019,"Williamson","Corn",14500
2018,"Williamson","Corn",17000
2017,"Williamson","Corn",14200
2016,"Williamson","Corn",13400
2015,"Williamson","Corn",16100
2021,"Winnebago","Corn",84100
2020,"Winnebago","Corn",90500
2019,"Winnebago","Corn",80300
2018,"Winnebago","Corn",90600
2017,"Winnebago","Corn",73600
2016,"Winnebago","Corn",80100
2015,"Winnebago","Corn",80000
2021,"Woodford","Corn",116000
2020,"Woodford","Corn",121900
2019,"Woodford","Corn",121300
2018,"Woodford","Corn",122900
2017,"Woodford","Corn",128100
2016,"Woodford","Corn",133200
2015,"Woodford","Corn",127700
2020,"Adams","Soybeans",133900
2019,"Adams","Soybeans",130000
2018,"Adams","Soybeans",136900
2017,"Adams","Soybeans",137500
2016,"Adams","Soybeans",127000
2015,"Adams","Soybeans",119700
2021,"Alexander","Soybeans",37700
2020,"Alexander","Soybeans",32900
2017,"Alexander","Soybeans",33600
2016,"Alexander","Soybeans",33900
2021,"Bond","Soybeans",81100
2020,"Bond","Soybeans",84100
2019,"Bond","Soybeans",82700
2018,"Bond","Soybeans",85700
2017,"Bond","Soybeans",84000
2015,"Bond","Soybeans",68700
2021,"Boone","Soybeans",43700
2020,"Boone","Soybeans",45000
2019,"Boone","Soybeans",41400
2018,"Boone","Soybeans",48600
2017,"Boone","Soybeans",45800
2016,"Boone","Soybeans",39100
2015,"Boone","Soybeans",43100
2021,"Brown","Soybeans",34800
2020,"Brown","Soybeans",35900
2019,"Brown","Soybeans",32800
2018,"Brown","Soybeans",36000
2017,"Brown","Soybeans",36500
2016,"Brown","Soybeans",32300
2015,"Brown","Soybeans",28900
2021,"Bureau","Soybeans",165600
2020,"Bureau","Soybeans",153800
2019,"Bureau","Soybeans",140500
2018,"Bureau","Soybeans",152500
2017,"Bureau","Soybeans",156500
2016,"Bureau","Soybeans",146300
2015,"Bureau","Soybeans",160400
2020,"Calhoun","Soybeans",22700
2019,"Calhoun","Soybeans",16700
2018,"Calhoun","Soybeans",25700
2017,"Calhoun","Soybeans",21300
2015,"Calhoun","Soybeans",15800
2021,"Carroll","Soybeans",48600
2020,"Carroll","Soybeans",40700
2019,"Carroll","Soybeans",38700
2018,"Carroll","Soybeans",42600
2017,"Carroll","Soybeans",46800
2016,"Carroll","Soybeans",43100
2015,"Carroll","Soybeans",41300
2021,"Cass","Soybeans",61500
2020,"Cass","Soybeans",60000
2018,"Cass","Soybeans",59400
2017,"Cass","Soybeans",65400
2016,"Cass","Soybeans",54300
2015,"Cass","Soybeans",57000
2021,"Champaign","Soybeans",263000
2020,"Champaign","Soybeans",255000
2019,"Champaign","Soybeans",256500
2018,"Champaign","Soybeans",250500
2017,"Champaign","Soybeans",257000
2016,"Champaign","Soybeans",245500
2015,"Champaign","Soybeans",250500
2021,"Christian","Soybeans",177900
