Year,Crop,FIPS,County,Total transects,Avg. soil loss (ton/ac),Avg. soil loss if all fields conventionally tilled (ton/ac),No till no.  transects,No-till % acres,No-till avg. soil loss (ton/ac),Mulch till no.  transects,Mulch till % acres,Mulch till avg. soil loss (ton/ac),Reduced till no.  transects,Reduced till % acres,Reduced till avg. soil loss (ton/ac),Conventional till no.  transects,Conventional till % acres,Conventional till avg. soil loss (ton/ac)
2018,soybean,,Total,22148,1.99,5.45,7906,37.40,0.85,7068,32.10,1.55,4207,18.10,2.74,2640,12.40,4.87
2017,corn,1,Adams,363,4.76,8.42,8,2.20,1.50,56,15.40,2.09,282,77.70,5.06,17,4.70,10.02
2017,corn,3,Alexander,21,7.67,7.75,1,4.80,3.17,0,0.00,NA,0,0.00,NA,20,95.20,7.89
2017,corn,5,Bond,186,2.17,6.17,3,1.60,0.37,122,65.60,1.55,60,32.30,3.40,1,0.50,8.91
2017,corn,7,Boone,224,3.60,4.01,7,3.10,0.95,24,10.70,1.12,15,6.70,1.78,178,79.50,4.19
2017,corn,9,Brown,208,6.31,8.48,32,15.40,0.99,12,5.80,2.26,43,20.70,4.02,121,58.20,8.93
2017,corn,11,Bureau,338,1.83,3.06,7,2.10,0.48,130,38.50,0.92,145,42.90,2.11,56,16.60,3.41
2017,corn,13,Calhoun,125,5.23,10.76,40,32.00,1.56,13,10.40,4.26,17,13.60,3.41,55,44.00,8.69
2017,corn,15,Carroll,389,3.80,7.03,44,11.30,3.23,151,38.80,2.66,193,49.60,4.81,1,0.30,5.38
2017,corn,17,Cass,308,1.96,7.06,150,48.70,1.87,107,34.70,1.27,39,12.70,3.63,12,3.90,3.67
2017,corn,19,Champaign,289,3.18,3.41,1,0.30,0.14,14,4.80,0.54,33,11.40,2.00,241,83.40,3.50
2017,corn,21,Christian,252,3.86,4.07,2,0.80,0.19,1,0.40,0.52,23,9.10,3.22,226,89.70,3.98
2017,corn,23,Clark,217,3.74,3.74,0,0.00,NA,0,0.00,NA,0,0.00,NA,217,100.00,3.74
2017,corn,25,Clay,237,6.16,7.44,11,4.60,0.96,25,10.50,3.15,13,5.50,5.63,188,79.30,6.91
2017,corn,27,Clinton,302,4.69,4.86,5,1.70,0.45,5,1.70,1.63,4,1.30,3.36,288,95.40,4.84
2017,corn,29,Coles,272,4.27,4.39,0,0.00,NA,3,1.10,1.07,15,5.50,2.49,254,93.40,4.42
2017,corn,31,Cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,corn,33,Crawford,269,7.26,7.77,0,0.00,NA,14,5.20,1.51,30,11.20,3.81,225,83.60,8.08
2017,corn,35,Cumberland,248,3.35,3.52,7,2.80,0.28,5,2.00,1.03,5,2.00,3.59,231,93.10,3.49
2017,corn,37,DeKalb,274,3.24,4.05,9,3.30,1.20,50,18.20,1.37,82,29.90,2.19,133,48.50,4.73
2017,corn,39,DeWitt,260,2.42,4.24,27,10.40,0.40,69,26.50,0.62,100,38.50,3.05,64,24.60,4.23
2017,corn,41,Douglas,259,2.74,2.84,3,1.20,0.80,2,0.80,1.52,20,7.70,1.31,234,90.30,2.89
2017,corn,45,Edgar,212,4.34,5.27,18,8.50,0.44,14,6.60,1.28,43,20.30,2.91,137,64.60,5.62
2017,corn,47,Edwards,193,4.53,12.16,73,37.80,2.83,27,14.00,4.11,76,39.40,5.67,17,8.80,7.35
2017,corn,49,Effingham,228,2.62,2.69,1,0.40,0.18,2,0.90,0.46,2,0.90,8.15,223,97.80,2.60
2017,corn,51,Fayette,321,4.60,4.66,3,0.90,0.90,1,0.30,0.64,1,0.30,3.72,316,98.40,4.65
2017,corn,53,Ford,327,3.55,3.77,13,4.00,0.36,11,3.40,0.84,20,6.10,2.21,283,86.50,3.90
2017,corn,55,Franklin,137,7.16,9.24,9,6.60,2.48,8,5.80,2.79,41,29.90,5.89,79,57.70,8.80
2017,corn,57,Fulton,300,4.08,7.47,19,6.30,1.52,43,14.30,1.74,233,77.70,4.72,5,1.70,4.24
2017,corn,59,Gallatin,197,4.14,6.00,55,27.90,1.71,1,0.50,0.83,71,36.00,4.26,70,35.50,5.98
2017,corn,61,Greene,334,5.92,7.02,51,15.30,2.40,0,0.00,NA,11,3.30,2.19,272,81.40,6.73
2017,corn,63,Grundy,237,1.93,2.36,29,12.20,0.39,17,7.20,0.75,28,11.80,1.69,163,68.80,2.37
2017,corn,65,Hamilton,167,7.23,10.47,48,28.70,2.57,0,0.00,NA,2,1.20,6.51,117,70.10,9.16
2017,corn,67,Hancock,244,3.38,6.61,50,20.50,1.94,32,13.10,1.39,93,38.10,3.95,69,28.30,4.58
2017,corn,69,Hardin,12,4.37,10.96,7,58.30,2.63,0,0.00,NA,0,0.00,NA,5,41.70,6.81
2017,corn,71,Henderson,328,4.65,8.87,71,21.60,1.79,73,22.30,2.94,119,36.30,5.57,65,19.80,8.02
2017,corn,73,Henry,347,3.33,7.37,128,36.90,1.22,30,8.60,2.27,77,22.20,4.29,112,32.30,5.38
2017,corn,75,Iroquois,228,2.24,2.60,18,7.90,0.31,11,4.80,0.80,48,21.10,1.35,151,66.20,2.85
2017,corn,77,Jackson,70,5.37,12.01,22,31.40,3.23,7,10.00,3.57,28,40.00,7.13,13,18.60,6.19
2017,corn,79,Jasper,270,3.83,4.40,18,6.70,1.00,5,1.90,1.35,22,8.10,2.89,225,83.30,4.21
2017,corn,81,Jefferson,112,7.89,10.82,6,5.40,1.62,15,13.40,3.58,32,28.60,7.33,59,52.70,9.92
2017,corn,83,Jersey,255,4.35,9.02,65,25.50,1.90,54,21.20,2.67,81,31.80,5.54,55,21.60,7.13
2017,corn,85,JoDaviess,265,3.10,9.66,105,39.60,1.78,117,44.20,2.43,21,7.90,5.82,22,8.30,10.36
2017,corn,87,Johnson,25,8.89,18.74,6,24.00,2.69,9,36.00,6.56,8,32.00,14.54,2,8.00,15.41
2017,corn,89,Kane,166,2.65,3.11,16,9.60,0.47,11,6.60,0.80,24,14.50,1.75,115,69.30,3.31
2017,corn,91,Kankakee,237,1.16,1.33,27,11.40,0.27,21,8.90,0.31,28,11.80,0.78,161,67.90,1.48
2017,corn,93,Kendall,257,1.87,2.38,7,2.70,0.24,22,8.60,0.75,101,39.30,1.43,127,49.40,2.49
2017,corn,95,Knox,229,2.77,6.32,57,24.90,1.44,93,40.60,2.30,75,32.80,4.04,4,1.70,8.93
2017,corn,97,Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,corn,99,LaSalle,237,2.78,3.02,22,9.30,0.19,0,0.00,NA,5,2.10,1.81,210,88.60,3.08
2017,corn,101,Lawrence,252,4.08,7.06,32,12.70,1.58,32,12.70,2.13,112,44.40,4.22,76,30.20,5.75
2017,corn,103,Lee,353,1.71,2.54,3,0.80,0.44,187,53.00,1.11,33,9.30,1.60,130,36.80,2.62
