"full_run_name","site_name","region_name","management_name","climate_scenario","crop_system_name","crop_name","Year","Grain.C.kgC.ha.","Leaf.C.kgC.ha.","Stem.C.kgC.ha.","Root.C.kgC.ha."
"v_1__CA__grape-a__nt-bc__rcp26","v_1","CA","nt-bc","rcp26","grape-a","barley",2018,335.118036,690.494501,705.505251,799.572617
"v_1__CA__grape-a__nt-bc__rcp60","v_1","CA","nt-bc","rcp60","grape-a","barley",2018,475.464542,703.189036,718.475754,814.272522
"v_1__CA__grape-a__rt-bc__rcp26","v_1","CA","rt-bc","rcp26","grape-a","barley",2018,297.524577,689.565041,704.555586,798.49633
"v_1__CA__grape-a__rt-bc__rcp60","v_1","CA","rt-bc","rcp60","grape-a","barley",2018,478.075438,711.839759,727.314536,824.289807
"v_1__CA__grape-a__ct-lc__rcp26","v_1","CA","ct-lc","rcp26","grape-a","faba_bean",2018,2078.847396,1009.837822,1009.837822,1407.946963
"v_1__CA__grape-a__ct-lc__rcp60","v_1","CA","ct-lc","rcp60","grape-a","faba_bean",2018,1911.396531,1602.39386,1602.39386,2234.106825
"v_1__CA__grape-a__nt-lc__rcp26","v_1","CA","nt-lc","rcp26","grape-a","faba_bean",2018,1870.573732,1014.099506,1014.099506,1413.888735
"v_1__CA__grape-a__nt-lc__rcp60","v_1","CA","nt-lc","rcp60","grape-a","faba_bean",2018,1821.25366,1581.931786,1581.931786,2205.57797
"v_1__CA__grape-a__rt-lc__rcp26","v_1","CA","rt-lc","rcp26","grape-a","faba_bean",2018,2048.146393,1011.365324,1011.365324,1410.076653
"v_1__CA__grape-a__rt-lc__rcp60","v_1","CA","rt-lc","rcp60","grape-a","faba_bean",2018,1938.774825,1579.992788,1579.992788,2202.87456
"v_1__CA__grape-c__cn__rcp26","v_1","CA","cn","rcp26","grape-c","grape",2018,289.905297,115.850728,104.522437,145.086144
"v_1__CA__grape-c__cn__rcp60","v_1","CA","cn","rcp60","grape-c","grape",2018,281.562135,96.785917,96.785917,144.199282
"v_1__CA__grape-c__rn__rcp26","v_1","CA","rn","rcp26","grape-c","grape",2018,283.78256,100.701456,100.701456,145.086144
"v_1__CA__grape-c__rn__rcp60","v_1","CA","rn","rcp60","grape-c","grape",2018,258.804534,94.910414,94.910414,144.19884
"v_1__CA__grape-a__ct-bc__rcp26","v_1","CA","ct-bc","rcp26","grape-a","barley",2019,383.417998,1054.716421,1077.645039,1221.269977
"v_1__CA__grape-a__ct-bc__rcp60","v_1","CA","ct-bc","rcp60","grape-a","barley",2019,687.321372,1068.786809,1092.021304,1237.624145
"v_1__CA__grape-a__nt-bc__rcp26","v_1","CA","nt-bc","rcp26","grape-a","barley",2019,463.333665,690.494501,705.505251,799.572617
"v_1__CA__grape-a__nt-bc__rcp60","v_1","CA","nt-bc","rcp60","grape-a","barley",2019,523.580167,703.189036,718.475754,814.272522
"v_1__CA__grape-a__rt-bc__rcp26","v_1","CA","rt-bc","rcp26","grape-a","barley",2019,458.406952,689.565041,704.555586,798.49633
