"name","scenario","year","season","ssn.tot","rainyd","intens"
"IL-n_1","rcp60",2009,"Winter",139.588709688745,56,2.49265553015617
"IL-n_1","rcp60",2009,"Spring",166.806406521355,58,2.87597252623025
"IL-n_1","rcp60",2009,"Summer",185.170843841508,62,2.98662651357271
"IL-n_1","rcp60",2009,"Fall",276.668148826342,67,4.12937535561705
"IL-n_1","rcp60",2010,"Winter",80.2248165558558,54,1.48564475103437
"IL-n_1","rcp60",2010,"Spring",316.382761080633,64,4.94348064188489
"IL-n_1","rcp60",2010,"Summer",274.109823574778,81,3.38407189598491
"IL-n_1","rcp60",2010,"Fall",220.898794132168,62,3.5628837763253
"IL-n_1","rcp60",2011,"Winter",152.943599146442,47,3.25411913077535
"IL-n_1","rcp60",2011,"Spring",236.753557953984,70,3.38219368505691
"IL-n_1","rcp60",2011,"Summer",116.797892216011,62,1.88383697122598
"IL-n_1","rcp60",2011,"Fall",194.143950751168,45,4.31431001669262
"IL-n_1","rcp60",2012,"Winter",115.949297969695,58,1.99912582706371
"IL-n_1","rcp60",2012,"Spring",247.08274751273,73,3.38469517140726
"IL-n_1","rcp60",2012,"Summer",325.171222997713,76,4.27856872365412
"IL-n_1","rcp60",2012,"Fall",299.606219385052,66,4.53948817250079
"IL-n_1","rcp60",2013,"Winter",153.376621536212,52,2.94955041415792
"IL-n_1","rcp60",2013,"Spring",288.79079748597,64,4.51235621071828
"IL-n_1","rcp60",2013,"Summer",270.450928030099,71,3.80916800042393
"IL-n_1","rcp60",2013,"Fall",345.925271699176,59,5.86314019829112
"IL-n_1","rcp60",2014,"Winter",84.2711595678702,45,1.87269243484156
"IL-n_1","rcp60",2014,"Spring",143.870898379362,60,2.3978483063227
"IL-n_1","rcp60",2014,"Summer",459.414869224187,78,5.88993422082291
"IL-n_1","rcp60",2014,"Fall",248.103566917474,66,3.75914495329507
"IL-n_1","rcp60",2015,"Winter",97.5850722923642,60,1.6264178715394
"IL-n_1","rcp60",2015,"Spring",182.584209414199,63,2.89816205419364
"IL-n_1","rcp60",2015,"Summer",273.847291814513,72,3.8034346085349
"IL-n_1","rcp60",2015,"Fall",266.829624582548,64,4.16921288410231
"IL-n_1","rcp60",2016,"Winter",147.024979714071,61,2.41024556908314
"IL-n_1","rcp60",2016,"Spring",273.2057555801,73,3.74254459698768
"IL-n_1","rcp60",2016,"Summer",201.837338238605,67,3.01249758565082
"IL-n_1","rcp60",2016,"Fall",352.96563618537,51,6.92089482716413
"IL-n_1","rcp60",2017,"Winter",155.412286013714,60,2.59020476689523
