"county","crop_name","variable","value"
"Franklin","Soybeans","perc_cc",10.2422348846505
"Fulton","Soybeans","perc_cc",1.87269307093106
"Gallatin","Soybeans","perc_cc",8.1868936196464
"Greene","Soybeans","perc_cc",15.2002431217648
"Grundy","Soybeans","perc_cc",0.0821296801890702
"Hamilton","Soybeans","perc_cc",7.03950300389488
"Hancock","Soybeans","perc_cc",3.22233502908436
"Hardin","Soybeans","perc_cc",19.7656561647815
"Henderson","Soybeans","perc_cc",2.14329666154764
"Henry","Soybeans","perc_cc",0.735750953141378
"Iroquois","Soybeans","perc_cc",1.59591529727103
"Jackson","Soybeans","perc_cc",8.99102604869967
"Jasper","Soybeans","perc_cc",4.06649244713108
"Jefferson","Soybeans","perc_cc",11.3182915756194
"Jersey","Soybeans","perc_cc",6.71043807642874
"Jo Daviess","Soybeans","perc_cc",8.16215353627069
"Johnson","Soybeans","perc_cc",7.87329438303395
"Kane","Soybeans","perc_cc",0.552530357951168
"Kankakee","Soybeans","perc_cc",1.81094144775413
"Kendall","Soybeans","perc_cc",0.223655306630255
"Knox","Soybeans","perc_cc",0.183671362209943
"LaSalle","Soybeans","perc_cc",0.689367913364294
"Lawrence","Soybeans","perc_cc",3.21303303752618
"Lee","Soybeans","perc_cc",1.21621821099884
"Livingston","Soybeans","perc_cc",0.560559696609016
"Logan","Soybeans","perc_cc",3.29340508010485
"Macon","Soybeans","perc_cc",2.49624429595552
"Macoupin","Soybeans","perc_cc",5.77951203979074
"Madison","Soybeans","perc_cc",15.2774746404144
"Marion","Soybeans","perc_cc",5.76743242853581
"Marshall","Soybeans","perc_cc",1.18006905793922
"Mason","Soybeans","perc_cc",7.05194561153568
"Massac","Soybeans","perc_cc",7.85050052063858
"McDonough","Soybeans","perc_cc",1.16053804602185
"McHenry","Soybeans","perc_cc",1.79998609094148
"McLean","Soybeans","perc_cc",2.09696010688119
"Menard","Soybeans","perc_cc",3.54605853365232
"Mercer","Soybeans","perc_cc",2.22237041703541
"Monroe","Soybeans","perc_cc",33.6023515042505
"Montgomery","Soybeans","perc_cc",5.38543344214946
"Morgan","Soybeans","perc_cc",5.62304409397508
"Moultrie","Soybeans","perc_cc",2.7189809064168
"Ogle","Soybeans","perc_cc",1.82587766298238
"Peoria","Soybeans","perc_cc",2.02985386998078
