Year,Crop,FIPS,State,County,Total transects,Avg. soil loss (ton/ac),Avg. soil loss if all fields conventionally tilled (ton/ac),No till no.  transects,No-till % acres,No-till avg. soil loss (ton/ac),Mulch till no.  transects,Mulch till % acres,Mulch till avg. soil loss (ton/ac),Reduced till no.  transects,Reduced till % acres,Reduced till avg. soil loss (ton/ac),Conventional till no.  transects,Conventional till % acres,Conventional till avg. soil loss (ton/ac)
2015,corn,27,illinois,clinton,285,4,4.6,6,2.1,0.8,30,10.5,1.5,29,10.2,2.5,220,77.2,4.6
2015,soybean,27,illinois,clinton,266,1.7,2.9,80,29.7,0.3,46,17.3,1,18,6.8,1.7,122,45.9,2.9
2018,corn,27,illinois,clinton,305,4.46,4.61,10,3.3,0.87,3,1,0.79,1,0.3,3.74,291,95.4,4.62
2018,soybean,27,illinois,clinton,255,3.18,3.92,42,16.5,0.43,30,11.8,1.45,3,1.2,2.24,180,70.6,4.13
2017,corn,27,illinois,clinton,302,4.69,4.86,5,1.7,0.45,5,1.7,1.63,4,1.3,3.36,288,95.4,4.84
2017,soybean,27,illinois,clinton,232,2.85,3.39,30,12.9,0.53,11,4.7,0.98,9,3.9,1.16,182,78.4,3.43
2015,corn,29,illinois,coles,242,4.5,4.5,1,0.4,0.1,0,0,0,10,4.1,1.5,231,95.5,4.6
2015,soybean,29,illinois,coles,242,1.3,2.6,33,14,0.3,85,35,0.8,77,32,1.3,47,19,3.1
2018,corn,29,illinois,coles,269,4.35,4.7,0,0,NA,7,2.6,1.09,57,21.2,2.64,205,76.2,4.93
2018,soybean,29,illinois,coles,269,2.08,3.98,29,10.8,0.42,103,38.3,1.09,93,34.6,2.48,44,16.4,4.65
2017,corn,29,illinois,coles,272,4.27,4.39,0,0,NA,3,1.1,1.07,15,5.5,2.49,254,93.4,4.42
2017,soybean,29,illinois,coles,279,2.68,4.05,24,8.6,0.38,60,21.5,1.06,98,35.1,2.53,97,34.8,4.41
2015,corn,31,illinois,cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,soybean,31,illinois,cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,corn,31,illinois,cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,soybean,31,illinois,cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,corn,31,illinois,cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,soybean,31,illinois,cook,NA,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,#VALUE!,NA
2015,corn,33,illinois,crawford,264,7.4,7.9,3,1.1,1.2,8,3,1.8,25,9.5,3.8,228,86.4,8.1
2015,soybean,33,illinois,crawford,254,2.9,4.6,40,15.7,0.4,51,20.1,1.1,60,23.6,2.9,103,40.6,4.8
2018,corn,33,illinois,crawford,252,5.87,7.76,0,0,NA,76,30.2,1.87,24,9.5,3.98,152,60.3,8.17
2018,soybean,33,illinois,crawford,275,2.8,5.08,44,16,0.88,32,11.6,1.44,127,46.2,3.14,72,26.2,3.98
2017,corn,33,illinois,crawford,269,7.26,7.77,0,0,NA,14,5.2,1.51,30,11.2,3.81,225,83.6,8.08
2017,soybean,33,illinois,crawford,247,2.66,4.38,44,17.8,0.4,51,20.6,1.09,59,23.9,2.78,93,37.7,4.52
2015,corn,35,illinois,cumberland,276,3.4,3.6,9,3,0.5,5,2,0.8,10,4,3.5,252,91,3.5
2015,soybean,35,illinois,cumberland,311,1.1,2.4,28,9,0.3,110,35.4,0.6,119,38.3,1.4,54,17.4,2
2018,corn,35,illinois,cumberland,257,3.06,3.31,15,5.8,0.41,3,1.2,0.9,10,3.9,1.83,229,89.1,3.32
2018,soybean,35,illinois,cumberland,319,1.99,3.47,51,16,0.4,79,24.8,0.84,97,30.4,2.03,92,28.8,3.82
2017,corn,35,illinois,cumberland,248,3.35,3.52,7,2.8,0.28,5,2,1.03,5,2,3.59,231,93.1,3.49
2017,soybean,35,illinois,cumberland,335,1.79,2.49,41,12.2,0.25,35,10.4,0.88,71,21.2,1.33,188,56.1,2.46
2015,corn,37,illinois,de kalb,281,2.7,3.9,10,3.6,0.9,98,34.9,1.5,67,23.8,2.5,106,37.7,4.3
2015,soybean,37,illinois,de kalb,160,1.4,3.3,24,15,0.6,99,62,1.1,29,18,1.9,8,5,5
2018,corn,37,illinois,de kalb,305,3.08,3.94,17,5.6,0.83,51,16.7,1.18,92,30.2,2.53,145,47.5,4.36
2018,soybean,37,illinois,de kalb,148,1.37,3.46,33,22.3,0.7,73,49.3,1.24,36,24.3,1.86,6,4.1,3.68
2017,corn,37,illinois,de kalb,274,3.24,4.05,9,3.3,1.2,50,18.2,1.37,82,29.9,2.19,133,48.5,4.73
2017,soybean,37,illinois,de kalb,168,1.52,3.25,37,22,0.63,43,25.6,1.39,66,39.3,1.57,22,13.1,3.13
2015,corn,39,illinois,de witt,275,1.6,4.5,7,2.5,0.6,202,73.5,0.7,37,13.5,3.5,29,10.5,5.4
2015,soybean,39,illinois,de witt,304,0.6,3.3,103,33.9,0.5,188,61.8,0.5,7,2.3,1.5,6,2,5.6
2018,corn,39,illinois,de witt,321,4,4.61,1,0.3,0.5,20,6.2,1.54,27,8.4,3.34,273,85,4.26
2018,soybean,39,illinois,de witt,324,1.52,3.58,48,14.8,0.44,134,41.4,0.94,112,34.6,1.77,30,9.3,4.9
2017,corn,39,illinois,de witt,260,2.42,4.24,27,10.4,0.4,69,26.5,0.62,100,38.5,3.05,64,24.6,4.23
2017,soybean,39,illinois,de witt,324,0.93,3.44,123,38,0.46,158,48.8,0.82,25,7.7,2.06,18,5.6,3.49
2015,corn,41,illinois,douglas,264,2.7,2.7,4,2,0.8,1,0,0.5,10,4,1.6,249,94,2.8
2015,soybean,41,illinois,douglas,224,1.2,2,26,11.6,0.2,43,19.2,0.5,93,41.5,1.1,62,27.7,2.4
2018,corn,41,illinois,douglas,227,2.42,2.52,1,0.4,0.2,8,3.5,0.77,7,3.1,1.87,211,93,2.51
2018,soybean,41,illinois,douglas,260,1.25,2.37,30,11.5,0.23,49,18.8,0.97,151,58.1,1.34,30,11.5,2.28
2017,corn,41,illinois,douglas,259,2.74,2.84,3,1.2,0.8,2,0.8,1.52,20,7.7,1.31,234,90.3,2.89
2017,soybean,41,illinois,douglas,228,1.41,2.12,17,7.5,0.18,30,13.2,0.7,89,39,1.33,92,40.4,1.94
2018,corn,43,illinois,du page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,soybean,43,illinois,du page,NA,,,,0,,,0,,,0,,,0,
2015,corn,45,illinois,edgar,224,4.7,5.2,6,3,0.4,16,7,1.5,29,13,2.7,173,77,5.5
2015,soybean,45,illinois,edgar,227,1.7,4.2,76,33,0.4,61,27,1,34,15,2,56,25,4.2
2018,corn,45,illinois,edgar,228,3.66,4.42,23,10.1,0.67,13,5.7,1.61,12,5.3,1.77,180,78.9,4.32
2018,soybean,45,illinois,edgar,225,1.3,4.79,95,42.2,0.36,75,33.3,1.13,28,12.4,2.11,27,12,4.21
2017,corn,45,illinois,edgar,212,4.34,5.27,18,8.5,0.44,14,6.6,1.28,43,20.3,2.91,137,64.6,5.62
2017,soybean,45,illinois,edgar,230,1.02,3.92,111,48.3,0.33,55,23.9,0.92,40,17.4,2.01,24,10.4,2.77
2015,corn,47,illinois,edwards,196,6.2,11.9,79,40.3,2.2,21,10.7,3.7,12,6.1,7.7,84,42.9,10.4
2015,soybean,47,illinois,edwards,181,1.9,7.6,144,79.6,1.1,21,11.6,2,4,2.2,3.4,12,6.6,10.8
2018,corn,47,illinois,edwards,180,7.02,12.09,59,32.8,1.68,18,10,2.64,18,10,6.99,85,47.2,11.65
2018,soybean,47,illinois,edwards,204,1.77,7.25,145,71.1,1,30,14.7,2.98,13,6.4,3.11,16,7.8,5.43
2017,corn,47,illinois,edwards,193,4.53,12.16,73,37.8,2.83,27,14,4.11,76,39.4,5.67,17,8.8,7.35
2017,soybean,47,illinois,edwards,192,2.04,7.95,108,56.3,1.3,35,18.2,2.51,37,19.3,2.99,12,6.3,4.46
2015,corn,49,illinois,effingham,249,2.9,3,0,0,0,8,3.2,0.8,7,2.8,1.1,234,94,3
2015,soybean,49,illinois,effingham,295,1.1,1.9,46,15.6,0.2,81,27.5,0.7,81,27.5,1.2,87,29.5,2
2018,corn,49,illinois,effingham,223,2.39,2.45,2,0.9,0.15,3,1.3,0.51,7,3.1,1.15,211,94.6,2.48
2018,soybean,49,illinois,effingham,316,1.29,2.36,58,18.4,0.33,65,20.6,0.83,100,31.6,0.93,93,29.4,2.6
2017,corn,49,illinois,effingham,228,2.62,2.69,1,0.4,0.18,2,0.9,0.46,2,0.9,8.15,223,97.8,2.6
2017,soybean,49,illinois,effingham,309,1.57,2.07,37,12,0.21,52,16.8,0.89,29,9.4,1.38,191,61.8,2.05
2015,corn,51,illinois,fayette,311,5,5.2,2,0.6,1.7,10,3.2,1.5,5,1.6,3.9,294,94.5,5.1
2015,soybean,51,illinois,fayette,386,1.6,2.6,56,14.5,1,116,30.1,1.1,109,28.2,1.3,105,27.2,2.7
2018,corn,51,illinois,fayette,285,3.79,4.05,8,2.8,1.3,4,1.4,1.07,7,2.5,3.13,266,93.3,3.92
2018,soybean,51,illinois,fayette,427,1.73,3.16,92,21.5,0.57,109,25.5,0.96,98,23,1.46,128,30,3.43
2017,corn,51,illinois,fayette,321,4.6,4.66,3,0.9,0.9,1,0.3,0.64,1,0.3,3.72,316,98.4,4.65
2017,soybean,51,illinois,fayette,406,1.96,2.57,72,17.7,0.75,54,13.3,0.98,38,9.4,1.69,242,59.6,2.59
2015,corn,53,illinois,ford,308,3.3,4,29,9.4,0.6,21,6.8,1.4,52,16.9,2.1,206,66.9,4.2
2015,soybean,53,illinois,ford,305,0.8,2.4,109,35.7,0.2,128,42,0.9,55,18,1.5,13,4.3,2.3
2018,corn,53,illinois,ford,324,3.45,3.54,2,0.6,1.22,3,0.9,0.39,10,3.1,2.46,309,95.4,3.53
2018,soybean,53,illinois,ford,318,1.6,2.71,85,26.7,0.29,34,10.7,0.66,107,33.6,1.45,92,28.9,3.32
2017,corn,53,illinois,ford,327,3.55,3.77,13,4,0.36,11,3.4,0.84,20,6.1,2.21,283,86.5,3.9
2017,soybean,53,illinois,ford,300,0.8,2.08,103,34.3,0.17,86,28.7,0.51,68,22.7,1.05,43,14.3,2.5
2015,corn,55,illinois,franklin,160,8,9.2,0,0,0,11,6.9,1.5,28,17.5,6.5,121,75.6,8.9
