"site_name","system","management","climate_scenario","year","NO3.yr"
"h_1","hops-a","nt-bc","rcp26",2036,2.581525
"h_1","hops-a","nt-bc","rcp26",2037,1.091371
"h_1","hops-a","nt-bc","rcp26",2038,0.577956
"h_1","hops-a","nt-bc","rcp26",2039,1.332448
"h_1","hops-a","nt-bc","rcp26",2040,0.699965
"h_1","hops-a","nt-bc","rcp26",2041,2.127391
"h_1","hops-a","nt-bc","rcp26",2042,1.590175
"h_1","hops-a","nt-bc","rcp26",2043,0.432043
"h_1","hops-a","nt-bc","rcp26",2044,1.171642
"h_1","hops-a","nt-bc","rcp26",2045,0.863044
"h_1","hops-a","nt-bc","rcp26",2046,1.889935
"h_1","hops-a","nt-bc","rcp26",2047,0.227573
"h_1","hops-a","nt-bc","rcp26",2048,1.218521
"h_1","hops-a","nt-bc","rcp26",2049,1.841784
"h_1","hops-a","nt-bc","rcp26",2050,1.545866
"h_1","hops-a","nt-bc","rcp26",2051,1.418139
"h_1","hops-a","nt-bc","rcp26",2052,2.896133
"h_1","hops-a","nt-bc","rcp26",2053,1.048249
"h_1","hops-a","nt-bc","rcp26",2054,2.024682
"h_1","hops-a","nt-bc","rcp26",2055,1.225046
"h_1","hops-a","nt-bc","rcp26",2056,0.737819
"h_1","hops-a","nt-bc","rcp26",2057,1.163537
"h_1","hops-a","nt-bc","rcp26",2058,0.286383
"h_1","hops-a","nt-bc","rcp26",2059,0.52398
"h_1","hops-a","nt-bc","rcp26",2060,0.660321
"h_1","hops-a","nt-bc","rcp26",2061,1.783078
"h_1","hops-a","nt-bc","rcp26",2062,2.987741
"h_1","hops-a","nt-bc","rcp26",2063,0.706866
"h_1","hops-a","nt-bc","rcp26",2064,0.978692
"h_1","hops-a","nt-bc","rcp26",2065,1.3938
"h_1","hops-a","nt-bc","rcp26",2066,0.270365
"h_1","hops-a","nt-bc","rcp26",2067,1.11903
"h_1","hops-a","nt-bc","rcp26",2068,0.616501
"h_1","hops-a","nt-bc","rcp26",2069,0.771298
"h_1","hops-a","nt-bc","rcp26",2070,0.398
"h_1","hops-a","nt-bc","rcp26",2071,1.389332
"h_1","hops-a","nt-bc","rcp26",2072,1.215112
"h_1","hops-a","nt-bc","rcp26",2073,8.214174
"h_1","hops-a","nt-bc","rcp60",2013,2.070866
"h_1","hops-a","nt-bc","rcp60",2014,0.693821
"h_1","hops-a","nt-bc","rcp60",2015,0.83707
"h_1","hops-a","nt-bc","rcp60",2016,0.294504
"h_1","hops-a","nt-bc","rcp60",2017,0.338323
"h_1","hops-a","nt-bc","rcp60",2018,2.090385
"h_1","hops-a","nt-bc","rcp60",2019,1.009674
"h_1","hops-a","nt-bc","rcp60",2020,0.979298
"h_1","hops-a","nt-bc","rcp60",2021,0.96882
"h_1","hops-a","nt-bc","rcp60",2022,1.233553
"h_1","hops-a","nt-bc","rcp60",2023,0.686885
"h_1","hops-a","nt-bc","rcp60",2024,0.53837
"h_1","hops-a","nt-bc","rcp60",2025,2.689867
"h_1","hops-a","nt-bc","rcp60",2026,0.92027
"h_1","hops-a","nt-bc","rcp60",2027,1.176437
"h_1","hops-a","nt-bc","rcp60",2028,1.20236
"h_1","hops-a","nt-bc","rcp60",2029,0.888892
"h_1","hops-a","nt-bc","rcp60",2030,1.219207
"h_1","hops-a","nt-bc","rcp60",2031,0.729062
"h_1","hops-a","nt-bc","rcp60",2032,0.724686
"h_1","hops-a","nt-bc","rcp60",2033,0.749692
"h_1","hops-a","nt-bc","rcp60",2034,1.538433
"h_1","hops-a","nt-bc","rcp60",2035,2.09065
"h_1","hops-a","nt-bc","rcp60",2036,2.873031
"h_1","hops-a","nt-bc","rcp60",2037,3.805135
"h_1","hops-a","nt-bc","rcp60",2038,0.956871
"h_1","hops-a","nt-bc","rcp60",2039,1.303336
"h_1","hops-a","nt-bc","rcp60",2040,0.993623
"h_1","hops-a","nt-bc","rcp60",2041,1.068027
"h_1","hops-a","nt-bc","rcp60",2042,1.270163
