"site_name","crop","management","climate_scenario","year","NO3.yr"
"v_1","grape-a","ct-nc","rcp26",2061,73.85332
"v_1","grape-a","ct-nc","rcp26",2062,54.001699
"v_1","grape-a","ct-nc","rcp26",2063,39.052464
"v_1","grape-a","ct-nc","rcp26",2064,88.010581
"v_1","grape-a","ct-nc","rcp26",2065,71.70372
"v_1","grape-a","ct-nc","rcp26",2066,64.675331
"v_1","grape-a","ct-nc","rcp26",2067,28.691535
"v_1","grape-a","ct-nc","rcp26",2068,62.458545
"v_1","grape-a","ct-nc","rcp26",2069,30.710903
"v_1","grape-a","ct-nc","rcp26",2070,74.071973
"v_1","grape-a","ct-nc","rcp26",2071,35.752963
"v_1","grape-a","ct-nc","rcp26",2072,79.91043
"v_1","grape-a","ct-nc","rcp60",2013,9.844748
"v_1","grape-a","ct-nc","rcp60",2014,30.240559
"v_1","grape-a","ct-nc","rcp60",2015,50.178646
"v_1","grape-a","ct-nc","rcp60",2016,54.439065
"v_1","grape-a","ct-nc","rcp60",2017,39.870405
"v_1","grape-a","ct-nc","rcp60",2018,33.688358
"v_1","grape-a","ct-nc","rcp60",2019,49.165248
"v_1","grape-a","ct-nc","rcp60",2020,20.142077
"v_1","grape-a","ct-nc","rcp60",2021,56.293409
"v_1","grape-a","ct-nc","rcp60",2022,80.21903
"v_1","grape-a","ct-nc","rcp60",2023,58.707697
"v_1","grape-a","ct-nc","rcp60",2024,36.99163
"v_1","grape-a","ct-nc","rcp60",2025,75.335411
"v_1","grape-a","ct-nc","rcp60",2026,24.239625
"v_1","grape-a","ct-nc","rcp60",2027,29.761724
"v_1","grape-a","ct-nc","rcp60",2028,80.636154
"v_1","grape-a","ct-nc","rcp60",2029,51.526719
"v_1","grape-a","ct-nc","rcp60",2030,56.515895
"v_1","grape-a","ct-nc","rcp60",2031,81.199276
"v_1","grape-a","ct-nc","rcp60",2032,32.085072
"v_1","grape-a","ct-nc","rcp60",2033,39.286142
"v_1","grape-a","ct-nc","rcp60",2034,39.064781
"v_1","grape-a","ct-nc","rcp60",2035,66.168438
"v_1","grape-a","ct-nc","rcp60",2036,92.516681
"v_1","grape-a","ct-nc","rcp60",2037,35.066926
"v_1","grape-a","ct-nc","rcp60",2038,72.528137
"v_1","grape-a","ct-nc","rcp60",2039,23.608957
"v_1","grape-a","ct-nc","rcp60",2040,20.983629
"v_1","grape-a","ct-nc","rcp60",2041,93.812318
"v_1","grape-a","ct-nc","rcp60",2042,36.186684
"v_1","grape-a","ct-nc","rcp60",2043,59.031757
"v_1","grape-a","ct-nc","rcp60",2044,75.630643
"v_1","grape-a","ct-nc","rcp60",2045,50.371076
"v_1","grape-a","ct-nc","rcp60",2046,45.577633
"v_1","grape-a","ct-nc","rcp60",2047,44.435089
"v_1","grape-a","ct-nc","rcp60",2048,38.233531
"v_1","grape-a","ct-nc","rcp60",2049,109.726554
"v_1","grape-a","ct-nc","rcp60",2050,48.755962
"v_1","grape-a","ct-nc","rcp60",2051,61.698838
"v_1","grape-a","ct-nc","rcp60",2052,46.655875
"v_1","grape-a","ct-nc","rcp60",2053,60.068924
"v_1","grape-a","ct-nc","rcp60",2054,49.901626
"v_1","grape-a","ct-nc","rcp60",2055,68.141863
"v_1","grape-a","ct-nc","rcp60",2056,46.376132
"v_1","grape-a","ct-nc","rcp60",2057,33.303385
"v_1","grape-a","ct-nc","rcp60",2058,39.294671
"v_1","grape-a","ct-nc","rcp60",2059,101.775235
"v_1","grape-a","ct-nc","rcp60",2060,23.925185
"v_1","grape-a","ct-nc","rcp60",2061,28.89772
"v_1","grape-a","ct-nc","rcp60",2062,118.219912
"v_1","grape-a","ct-nc","rcp60",2063,19.159647
"v_1","grape-a","ct-nc","rcp60",2064,66.910605
"v_1","grape-a","ct-nc","rcp60",2065,38.48251
"v_1","grape-a","ct-nc","rcp60",2066,36.886932
"v_1","grape-a","ct-nc","rcp60",2067,95.580078
"v_1","grape-a","ct-nc","rcp60",2068,65.233318
"v_1","grape-a","ct-nc","rcp60",2069,41.228754
"v_1","grape-a","ct-nc","rcp60",2070,101.823853
"v_1","grape-a","ct-nc","rcp60",2071,54.360712
"v_1","grape-a","ct-nc","rcp60",2072,48.940277
"v_1","grape-a","nt-bc","rcp26",2014,0.39138
"v_1","grape-a","nt-bc","rcp26",2015,0.264364
"v_1","grape-a","nt-bc","rcp26",2016,0.7204
"v_1","grape-a","nt-bc","rcp26",2017,0.816274
"v_1","grape-a","nt-bc","rcp26",2018,1.769736
"v_1","grape-a","nt-bc","rcp26",2019,0.860626
"v_1","grape-a","nt-bc","rcp26",2020,5.496263
"v_1","grape-a","nt-bc","rcp26",2021,1.484693
"v_1","grape-a","nt-bc","rcp26",2022,1.330383
"v_1","grape-a","nt-bc","rcp26",2023,1.962719
"v_1","grape-a","nt-bc","rcp26",2024,1.130955
"v_1","grape-a","nt-bc","rcp26",2025,1.289962
"v_1","grape-a","nt-bc","rcp26",2026,0.798651
"v_1","grape-a","nt-bc","rcp26",2027,3.741054
"v_1","grape-a","nt-bc","rcp26",2028,3.216043
"v_1","grape-a","nt-bc","rcp26",2029,1.750417
"v_1","grape-a","nt-bc","rcp26",2030,2.421011
"v_1","grape-a","nt-bc","rcp26",2031,3.369871
"v_1","grape-a","nt-bc","rcp26",2032,2.103695
"v_1","grape-a","nt-bc","rcp26",2033,5.039453
"v_1","grape-a","nt-bc","rcp26",2034,2.577455
"v_1","grape-a","nt-bc","rcp26",2035,4.757765
"v_1","grape-a","nt-bc","rcp26",2036,7.00493
"v_1","grape-a","nt-bc","rcp26",2037,4.5053
"v_1","grape-a","nt-bc","rcp26",2038,7.080355
"v_1","grape-a","nt-bc","rcp26",2039,12.46229
"v_1","grape-a","nt-bc","rcp26",2040,5.795848
"v_1","grape-a","nt-bc","rcp26",2041,11.015732
"v_1","grape-a","nt-bc","rcp26",2042,6.351029
"v_1","grape-a","nt-bc","rcp26",2043,8.390643
"v_1","grape-a","nt-bc","rcp26",2044,2.361209
"v_1","grape-a","nt-bc","rcp26",2045,23.996093
"v_1","grape-a","nt-bc","rcp26",2046,8.13756
"v_1","grape-a","nt-bc","rcp26",2047,25.768046
"v_1","grape-a","nt-bc","rcp26",2048,12.055615
"v_1","grape-a","nt-bc","rcp26",2049,13.778396
"v_1","grape-a","nt-bc","rcp26",2050,19.800086
"v_1","grape-a","nt-bc","rcp26",2051,11.782093
"v_1","grape-a","nt-bc","rcp26",2052,13.852705
"v_1","grape-a","nt-bc","rcp26",2053,16.698797
"v_1","grape-a","nt-bc","rcp26",2054,9.329738
"v_1","grape-a","nt-bc","rcp26",2055,15.636407
"v_1","grape-a","nt-bc","rcp26",2056,13.700295
"v_1","grape-a","nt-bc","rcp26",2057,50.370622
"v_1","grape-a","nt-bc","rcp26",2058,11.289298
"v_1","grape-a","nt-bc","rcp26",2059,16.036549
"v_1","grape-a","nt-bc","rcp26",2060,10.958747
"v_1","grape-a","nt-bc","rcp26",2061,14.925349
"v_1","grape-a","nt-bc","rcp26",2062,7.143736
"v_1","grape-a","nt-bc","rcp26",2063,27.110118
"v_1","grape-a","nt-bc","rcp26",2064,47.79667
"v_1","grape-a","nt-bc","rcp26",2065,13.027072
"v_1","grape-a","nt-bc","rcp26",2066,11.056958
"v_1","grape-a","nt-bc","rcp26",2067,8.515046
"v_1","grape-a","nt-bc","rcp26",2068,20.282492
"v_1","grape-a","nt-bc","rcp26",2069,8.62875
"v_1","grape-a","nt-bc","rcp26",2070,48.117247
"v_1","grape-a","nt-bc","rcp26",2071,19.3648
"v_1","grape-a","nt-bc","rcp26",2072,47.751028
"v_1","grape-a","nt-bc","rcp26",2073,41.908148
"v_1","grape-a","nt-bc","rcp60",2014,0.412379
"v_1","grape-a","nt-bc","rcp60",2015,0.309037
"v_1","grape-a","nt-bc","rcp60",2016,0.859822
"v_1","grape-a","nt-bc","rcp60",2017,0.371058
"v_1","grape-a","nt-bc","rcp60",2018,2.05896
"v_1","grape-a","nt-bc","rcp60",2019,0.082724
"v_1","grape-a","nt-bc","rcp60",2020,1.558851
"v_1","grape-a","nt-bc","rcp60",2021,0.836005
"v_1","grape-a","nt-bc","rcp60",2022,0.919983
"v_1","grape-a","nt-bc","rcp60",2023,1.38994
"v_1","grape-a","nt-bc","rcp60",2024,1.921089
"v_1","grape-a","nt-bc","rcp60",2025,2.254881
"v_1","grape-a","nt-bc","rcp60",2026,3.541828
"v_1","grape-a","nt-bc","rcp60",2027,4.940995
"v_1","grape-a","nt-bc","rcp60",2028,9.505318
"v_1","grape-a","nt-bc","rcp60",2029,2.90464
"v_1","grape-a","nt-bc","rcp60",2030,10.981193
"v_1","grape-a","nt-bc","rcp60",2031,2.442839
"v_1","grape-a","nt-bc","rcp60",2032,3.367526
"v_1","grape-a","nt-bc","rcp60",2033,14.484252
"v_1","grape-a","nt-bc","rcp60",2034,5.727516
"v_1","grape-a","nt-bc","rcp60",2035,6.956272
"v_1","grape-a","nt-bc","rcp60",2036,4.415768
"v_1","grape-a","nt-bc","rcp60",2037,3.546356
"v_1","grape-a","nt-bc","rcp60",2038,5.285587
"v_1","grape-a","nt-bc","rcp60",2039,8.750389
"v_1","grape-a","nt-bc","rcp60",2040,6.189836
"v_1","grape-a","nt-bc","rcp60",2041,14.024376
"v_1","grape-a","nt-bc","rcp60",2042,15.627703
"v_1","grape-a","nt-bc","rcp60",2043,20.752802
"v_1","grape-a","nt-bc","rcp60",2044,11.368994
"v_1","grape-a","nt-bc","rcp60",2045,10.849841
"v_1","grape-a","nt-bc","rcp60",2046,7.749046
"v_1","grape-a","nt-bc","rcp60",2047,17.249787
"v_1","grape-a","nt-bc","rcp60",2048,16.057503
"v_1","grape-a","nt-bc","rcp60",2049,47.865282
"v_1","grape-a","nt-bc","rcp60",2050,7.619142
"v_1","grape-a","nt-bc","rcp60",2051,16.12525
"v_1","grape-a","nt-bc","rcp60",2052,6.081716
"v_1","grape-a","nt-bc","rcp60",2053,9.358512
"v_1","grape-a","nt-bc","rcp60",2054,9.079728
"v_1","grape-a","nt-bc","rcp60",2055,7.080114
"v_1","grape-a","nt-bc","rcp60",2056,14.107259
"v_1","grape-a","nt-bc","rcp60",2057,6.72557
"v_1","grape-a","nt-bc","rcp60",2058,16.240624
"v_1","grape-a","nt-bc","rcp60",2059,12.917192
