"site_name","crop_system_name","management_name","climate_scenario","Year","trans.yr","evap.yr","leach.yr","run.yr","sed.yr"
"v_8","grape-c","cn","rcp60",2021,64.781098,197.458733,340.100034,178.560863,727.863751401919
"v_8","grape-c","cn","rcp60",2022,63.775671,194.536769,772.107707,433.399584,933.377457909082
"v_8","grape-c","cn","rcp60",2023,64.907633,213.984105,542.61221,297.775851,460.006830850857
"v_8","grape-c","cn","rcp60",2024,66.477636,181.817187,523.56176,208.077686,329.210856257215
"v_8","grape-c","cn","rcp60",2025,63.718603,192.414017,1064.662894,875.230096,1591.31606254915
"v_8","grape-c","cn","rcp60",2026,66.485118,192.246246,411.011321,175.418461,265.074535606446
"v_8","grape-c","cn","rcp60",2027,65.964297,204.61212,129.755626,59.632652,124.45203914665
"v_8","grape-c","cn","rcp60",2028,65.164763,236.911236,504.789735,214.398642,343.268002867683
"v_8","grape-c","cn","rcp60",2029,65.6029,192.614288,477.075948,228.741947,307.643199744574
"v_8","grape-c","cn","rcp60",2030,65.151833,177.70278,235.332577,166.18878,388.354032192049
"v_8","grape-c","cn","rcp60",2031,66.974393,206.148307,661.027732,593.718663,845.998027616669
"v_8","grape-c","cn","rcp60",2032,65.278814,181.106736,657.416833,476.458941,1049.17380169692
"v_8","grape-c","cn","rcp60",2033,67.526957,191.120687,178.365755,84.125102,222.673195466909
"v_8","grape-c","cn","rcp60",2034,67.111287,194.625174,244.709105,81.815475,181.802803725751
"v_8","grape-c","cn","rcp60",2035,65.107264,188.653624,487.167543,320.020041,549.098672110767
"v_8","grape-c","cn","rcp60",2036,66.97972,227.603997,752.570751,479.756288,745.340491577941
"v_8","grape-c","cn","rcp60",2037,66.532713,210.041203,314.392487,150.276364,258.407562822579
"v_8","grape-c","cn","rcp60",2038,67.618495,253.979192,712.3366,460.072025,834.322832637144
"v_8","grape-c","cn","rcp60",2039,65.466489,220.881211,125.963657,86.405511,112.898881467971
"v_8","grape-c","cn","rcp60",2040,66.967175,216.625452,197.131077,56.429108,116.868234002458
"v_8","grape-c","cn","rcp60",2041,69.210197,134.445228,837.238547,588.286135,1034.55362501011
"v_8","grape-c","cn","rcp60",2042,69.322214,236.569616,235.45984,81.655479,266.908743249821
"v_8","grape-c","cn","rcp60",2043,68.485441,179.783539,479.540549,317.765185,519.911278810163
"v_8","grape-c","cn","rcp60",2044,68.022344,176.763167,694.75522,448.571084,776.716324493354
"v_8","grape-c","cn","rcp60",2045,71.342111,180.589036,425.085757,357.046201,702.457036057787
"v_8","grape-c","cn","rcp60",2046,68.824191,185.374486,749.439294,477.293074,815.961129091892
"v_8","grape-c","cn","rcp60",2047,69.424333,181.02251,426.260302,268.04094,440.859328047694
"v_8","grape-c","cn","rcp60",2048,69.043925,174.523289,207.737056,80.362655,106.103090746854
"v_8","grape-c","cn","rcp60",2049,70.443194,182.20236,965.970974,734.778119,1008.76594473222
