"site_name","crop","management","climate_scenario","year","trans.yr","evap.yr","leach.yr","run.yr","sed.yr"
"a_1","almond-c","rn","rcp60",2054,105.397884,181.920009,0,0,0
"a_1","almond-c","rn","rcp60",2055,97.958059,319.357478,0,0,0
"a_1","almond-c","rn","rcp60",2056,83.344452,213.968191,0,0,0
"a_1","almond-c","rn","rcp60",2057,87.680095,224.931034,1.816873,0,0
"a_1","almond-c","rn","rcp60",2058,87.335973,219.994413,0,0,0
"a_1","almond-c","rn","rcp60",2059,94.823559,297.907655,6.317292,0,0
"a_1","almond-c","rn","rcp60",2060,94.978246,257.908232,0,0,0
"a_1","almond-c","rn","rcp60",2061,67.634398,149.159276,0,0,0
"a_1","almond-c","rn","rcp60",2062,92.325029,192.857051,11.597493,0,0
"a_1","almond-c","rn","rcp60",2063,106.137601,317.810495,0,0,0
"a_1","almond-c","rn","rcp60",2064,97.098975,182.548552,16.211479,0,0
"a_1","almond-c","rn","rcp60",2065,109.19082,236.492807,0,0,0
"a_1","almond-c","rn","rcp60",2066,79.108886,287.107678,0,0,0
"a_1","almond-c","rn","rcp60",2067,76.312472,252.898454,0,0,0
"a_1","almond-c","rn","rcp60",2068,100.988512,152.010605,142.733414,0.004423,0.0047257931213052
"a_1","almond-c","rn","rcp60",2069,87.041437,208.643051,0,0,0
"a_1","almond-c","rn","rcp60",2070,98.475348,293.492849,0,0,0
"a_1","almond-c","rn","rcp60",2071,97.627984,173.32658,337.958544,0.466568,0.887899727352378
"a_1","almond-c","rn","rcp60",2072,94.119972,188.596558,76.994732,0,0
"a_10","almond-c","cn","rcp26",2014,20.234392,193.724446,27.936697,94.224645,602.544166491057
"a_10","almond-c","cn","rcp26",2015,32.562832,172.322245,4.363542,9.437213,123.535269568909
"a_10","almond-c","cn","rcp26",2016,33.411236,244.568963,45.050815,58.891922,1096.37378099554
"a_10","almond-c","cn","rcp26",2017,63.874355,199.372526,217.390461,97.499206,700.530117560078
"a_10","almond-c","cn","rcp26",2018,77.060574,207.055026,264.363491,119.319846,1413.59394637607
"a_10","almond-c","cn","rcp26",2019,92.372888,195.36775,0.682003,4.239807,47.1088814159582
"a_10","almond-c","cn","rcp26",2020,109.768426,237.902813,21.031466,52.380098,419.057631118525
"a_10","almond-c","cn","rcp26",2021,91.386305,193.151871,262.116612,103.301856,472.286637829285
"a_10","almond-c","cn","rcp26",2022,86.057255,219.09025,174.478909,35.448444,284.054803453949
"a_10","almond-c","cn","rcp26",2023,91.436508,182.404907,395.88965,208.238646,1793.80875475997
"a_10","almond-c","cn","rcp26",2024,91.575055,168.483519,306.31992,117.286837,482.162698380242
"a_10","almond-c","cn","rcp26",2025,82.82508,193.86697,298.14061,101.33695,835.726468448789
"a_10","almond-c","cn","rcp26",2026,95.57615,163.267328,57.857782,51.162132,532.89694554482
"a_10","almond-c","cn","rcp26",2027,108.596046,205.30067,136.937716,27.294274,205.121224537054
"a_10","almond-c","cn","rcp26",2028,99.407707,216.767012,193.123466,87.559432,467.565154907682
"a_10","almond-c","cn","rcp26",2029,81.510071,184.405374,161.016428,26.289924,188.636063234107
"a_10","almond-c","cn","rcp26",2030,102.126647,190.78408,158.383535,44.287494,244.337668215313
"a_10","almond-c","cn","rcp26",2031,105.356034,199.782673,52.924126,21.134805,111.750572402567
"a_10","almond-c","cn","rcp26",2032,87.813444,174.001202,551.022861,247.469858,1431.51785828872
"a_10","almond-c","cn","rcp26",2033,95.138173,248.31638,485.507036,146.198301,992.329908401709
"a_10","almond-c","cn","rcp26",2034,92.207749,187.764559,74.449636,16.34397,130.329191109488
"a_10","almond-c","cn","rcp26",2035,103.740224,163.585496,84.473922,51.015858,403.220871237532
"a_10","almond-c","cn","rcp26",2036,84.672268,207.770386,356.028508,89.368614,588.771604124441
"a_10","almond-c","cn","rcp26",2037,91.122655,227.219961,373.811162,100.973174,526.843349694292
